experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,2.1843,12695.58,92.79,92.7973,92.79,92.784
CP_GD rank 082 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,947917,10.2925,66.5371,0.0148,2.6314,13806.73,64.37,81.3802,64.37,65.7746
CP_GD rank 082 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",82,True,fine_tuned,4,0.0001,8.5081,True,1,0.5,val_accuracy,3,1,0.226521,92.9688,947917,10.2925,67.2582,0.0148,2.3519,14479.98,87.19,87.2329,87.19,87.1315
CP_GD rank 094 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1007557,9.6832,67.2289,0.0166,2.4263,14832.06,71.39,83.0832,71.39,72.3867
CP_GD rank 094 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",94,True,fine_tuned,4,0.0001,6.422,True,1,0.5,val_accuracy,2,1,0.207258,93.7109,1007557,9.6832,66.6894,0.0166,2.3204,14121.26,87.68,87.6608,87.68,87.6291
CP_GD rank 107 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1072167,9.0997,67.0352,0.0185,2.3783,13743.66,77.18,84.4465,77.18,77.9007
CP_GD rank 107 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",107,True,fine_tuned,4,0.0001,4.3134,True,1,0.5,val_accuracy,1,1,0.226662,93.5156,1072167,9.0997,66.6685,0.0185,2.3231,14781.53,87.58,87.6135,87.58,87.4244
CP_GD rank 122 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1146717,8.5081,67.1218,0.0207,2.5778,13897.17,78.55,84.5599,78.55,79.0276
CP_GD rank 122 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",122,True,fine_tuned,4,0.0001,6.7298,True,1,0.5,val_accuracy,2,1,0.157174,94.8828,1146717,8.5081,67.0958,0.0207,2.5044,14194.25,88.42,88.4777,88.42,88.405
CP_GD rank 139 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1231207,7.9243,67.3418,0.0231,2.5292,13846.82,82.32,86.1829,82.32,82.6355
CP_GD rank 139 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",139,True,fine_tuned,4,0.0001,4.6744,True,1,0.5,val_accuracy,1,1,0.148984,95.4688,1231207,7.9243,66.2741,0.0231,2.6567,14871.05,87.97,88.0528,87.97,87.9146
CP_GD rank 159 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1330607,7.3323,66.3033,0.0261,2.3359,13328.93,84.07,86.7619,84.07,84.3091
CP_GD rank 159 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",159,True,fine_tuned,4,0.0001,4.8289,True,1,0.5,val_accuracy,1,1,0.110172,96.6797,1330607,7.3323,66.2339,0.0261,2.3228,14385.38,89.05,89.1877,89.05,89.0646
CP_GD rank 181 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",181,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1439947,6.7755,66.8961,0.0293,2.7405,14018.69,86.45,88.011,86.45,86.6064
CP_GD rank 181 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",181,True,fine_tuned,4,0.0001,5.0424,True,1,0.5,val_accuracy,1,1,0.099886,96.8359,1439947,6.7755,66.7608,0.0293,2.415,14410.65,89.17,89.3437,89.17,89.1724
CP_GD rank 207 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1569167,6.2176,66.9618,0.0331,2.3561,12451.8,87.79,89.1685,87.79,87.9467
CP_GD rank 207 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",207,True,fine_tuned,4,0.0001,7.7401,True,1,0.5,val_accuracy,2,1,0.068405,98.125,1569167,6.2176,66.7185,0.0331,2.3436,13120.61,89.5,89.5237,89.5,89.3772
CP_GD rank 236 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1713297,5.6945,67.4803,0.0373,2.3614,11460.53,88.79,90.0647,88.79,88.9502
CP_GD rank 236 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",236,True,fine_tuned,4,0.0001,5.5015,True,1,0.5,val_accuracy,1,1,0.087743,97.6562,1713297,5.6945,67.7535,0.0373,2.3629,12390.54,90.29,90.2954,90.29,90.2808
CP_GD rank 269 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,1877307,5.197,69.6829,0.0421,2.6738,11541.72,89.9,90.6876,89.9,89.9893
CP_GD rank 269 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",269,True,fine_tuned,4,0.0001,5.8954,True,1,0.5,val_accuracy,1,1,0.046913,98.5547,1877307,5.197,69.7744,0.0421,2.4281,12111.58,89.85,89.9402,89.85,89.8064
CP_GD rank 307 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2066167,4.722,71.02,0.0476,2.4224,10708.5,90.41,91.066,90.41,90.4893
CP_GD rank 307 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",307,True,fine_tuned,4,0.0001,6.2216,True,1,0.5,val_accuracy,1,1,0.037121,98.7109,2066167,4.722,71.9021,0.0476,2.4288,11393.63,90.63,90.6875,90.63,90.621
CP_GD rank 351 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2284847,4.2701,73.8533,0.0541,2.4814,10029.24,91.14,91.6609,91.14,91.2153
CP_GD rank 351 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",351,True,fine_tuned,4,0.0001,6.4891,True,1,0.5,val_accuracy,1,1,0.028833,98.9453,2284847,4.2701,73.8051,0.0541,2.4815,10374.72,90.27,90.3822,90.27,90.3067
CP_GD rank 400 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",400,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,2522833,3.8673,77.8211,0.0598,2.4515,8645.44,91.24,91.6434,91.24,91.298
CP_GD rank 400 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",400,True,fine_tuned,4,0.0001,6.9444,True,1,0.5,val_accuracy,1,1,0.035874,98.9062,2522833,3.8673,78.3175,0.0598,2.5025,9528.8,90.49,90.6673,90.49,90.4987
