experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,272474,1.0,0.0,1.0455,49.8682,1.5871,0.0416,2.1942,16101.08,92.12,92.1765,92.12,92.1321
SVD rank 0223 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,223,False,0.0,268828,1.0136,0.0471,1.0318,58.8706,1.6623,0.0408,3.8846,14130.91,84.55,86.2572,84.55,84.709
SVD rank 0223 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,223,True,12.21,268828,1.0136,0.0471,1.0321,59.9165,1.6537,0.0408,3.9571,13744.79,90.41,90.7106,90.41,90.3597
SVD rank 0251 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,251,False,0.0,268828,1.0136,0.0472,1.0318,58.8706,1.661,0.0408,3.8073,13522.13,84.55,86.2572,84.55,84.709
SVD rank 0251 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,251,True,21.848,268828,1.0136,0.0472,1.0321,59.9165,1.6991,0.0408,3.9015,13772.58,91.55,91.6264,91.55,91.5643
SVD rank 0300 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,300,False,0.0,268828,1.0136,0.0482,1.0318,58.8706,1.6014,0.0408,3.8907,13667.3,84.55,86.2572,84.55,84.709
SVD rank 0300 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,300,True,9.9333,268828,1.0136,0.0482,1.0321,59.9165,1.6316,0.0408,3.9841,13636.88,90.86,90.9267,90.86,90.8503
SVD rank 0337 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,337,False,0.0,268828,1.0136,0.0472,1.0318,58.8706,1.5937,0.0408,3.9736,13973.2,84.55,86.2572,84.55,84.709
SVD rank 0337 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,337,True,9.8245,268828,1.0136,0.0472,1.0321,59.9165,1.631,0.0408,3.8981,14005.69,90.9,90.9938,90.9,90.9273
SVD rank 0400 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,400,False,0.0,268828,1.0136,0.0474,1.0318,58.8706,1.6685,0.0408,3.9243,13872.3,84.55,86.2572,84.55,84.709
SVD rank 0400 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,400,True,9.6854,268828,1.0136,0.0474,1.0321,59.9165,1.6522,0.0408,3.9409,14065.89,90.88,90.979,90.88,90.8934
Tucker rank 0002 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,False,0.0,7600,35.8518,0.3704,0.0353,51.8774,1.5977,0.0021,4.4393,12786.85,10.0,1.0,10.0,1.8182
Tucker rank 0002 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,True,20.0861,7600,35.8518,0.3704,0.0356,51.937,1.6446,0.0021,4.4983,12939.21,29.21,28.7784,29.21,24.4571
Tucker rank 0005 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,False,0.0,15262,17.8531,0.4493,0.0645,53.4043,1.6264,0.0049,4.4249,12536.22,10.0,1.0,10.0,1.8182
Tucker rank 0005 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,True,20.5072,15262,17.8531,0.4493,0.0648,53.4907,1.657,0.0049,4.5158,12762.86,52.72,54.7205,52.72,52.0399
Tucker rank 0008 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,8,False,0.0,25819,10.5532,0.4745,0.1048,54.9429,1.6554,0.0089,4.4791,12002.59,9.7,3.9805,9.7,2.8928
Tucker rank 0008 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,8,True,20.9518,25819,10.5532,0.4745,0.1051,55.0615,1.6847,0.0089,4.4933,12985.29,68.35,68.8482,68.35,67.6362
Tucker rank 0011 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,11,False,0.0,39218,6.9477,0.4774,0.1559,57.5029,1.6895,0.0143,4.5202,11736.41,10.01,1.2303,10.01,1.868
Tucker rank 0011 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,11,True,21.1466,39218,6.9477,0.4774,0.1562,57.6812,1.5935,0.0143,4.3358,13018.55,74.33,75.1332,74.33,74.0665
Tucker rank 0013 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,13,False,0.0,49672,5.4855,0.5336,0.1958,57.5405,1.7124,0.0185,4.6358,11979.47,9.92,1.283,9.92,1.9093
Tucker rank 0013 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,13,True,23.3507,49672,5.4855,0.5336,0.1961,57.7563,1.6417,0.0185,4.7444,12052.89,77.04,79.1466,77.04,76.3764
Tucker rank 0016 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,16,False,0.0,67783,4.0198,0.5941,0.2649,59.1069,1.7406,0.0261,4.93,11674.82,10.59,3.9257,10.59,3.548
Tucker rank 0016 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,16,True,25.1012,67783,4.0198,0.5941,0.2652,59.3813,1.6499,0.0261,4.7124,11804.6,80.58,81.3952,80.58,80.6816
Tucker rank 0019 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,19,False,0.0,81874,3.328,0.618,0.3186,59.1685,1.6869,0.0282,4.6903,11540.22,13.32,22.7084,13.32,6.4515
Tucker rank 0019 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,19,True,25.1546,81874,3.328,0.618,0.3189,59.5044,1.7097,0.0282,4.7627,11600.12,80.84,81.7816,80.84,80.1175
Tucker rank 0023 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,23,False,0.0,103434,2.6343,0.5818,0.4009,59.2515,1.6668,0.0314,4.7284,11660.53,21.81,43.741,21.81,15.412
Tucker rank 0023 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,23,True,26.6204,103434,2.6343,0.5818,0.4012,59.6704,1.6961,0.0314,4.5735,11940.07,82.98,83.7914,82.98,82.9494
Tucker rank 0027 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,27,False,0.0,128162,2.126,0.5894,0.4952,59.3457,1.6869,0.0351,4.48,11690.14,31.08,63.9487,31.08,27.9495
Tucker rank 0027 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,27,True,27.132,128162,2.126,0.5894,0.4955,59.8589,1.6738,0.0351,4.6033,12248.08,85.63,86.059,85.63,85.5548
Tucker rank 0031 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,31,False,0.0,156058,1.746,0.612,0.6016,60.7881,1.6778,0.0393,4.7451,11696.29,52.42,75.1609,52.42,50.7506
Tucker rank 0031 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,31,True,27.4908,156058,1.746,0.612,0.6019,61.4058,1.6351,0.0393,4.6245,11839.69,89.13,89.3092,89.13,89.1367
Tucker rank 0037 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,37,False,0.0,184012,1.4807,0.6358,0.7082,61.7158,1.6836,0.0418,4.6939,11568.66,72.71,79.3946,72.71,71.9325
Tucker rank 0037 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,37,True,22.0302,184012,1.4807,0.6358,0.7085,62.4385,1.7123,0.0418,4.5357,11416.61,89.31,89.3429,89.31,89.3047
Tucker rank 0040 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,40,False,0.0,197383,1.3804,0.6222,0.7593,61.7632,1.656,0.0426,4.5977,11375.2,74.05,80.988,74.05,73.7393
Tucker rank 0040 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,40,True,24.9845,197383,1.3804,0.6222,0.7596,62.5332,1.6948,0.0426,4.4834,11706.49,89.26,89.4775,89.26,89.2833
Tucker rank 0047 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,47,False,0.0,231732,1.1758,0.6554,0.8903,61.8975,1.6816,0.0448,4.6311,11927.75,86.74,88.0058,86.74,86.8377
Tucker rank 0047 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,47,True,21.9094,231732,1.1758,0.6554,0.8906,62.8018,1.6095,0.0448,4.424,12471.17,91.05,91.068,91.05,91.0301
Tucker rank 0054 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,54,False,0.0,270491,1.0073,0.6125,1.0381,62.0435,1.6708,0.0473,4.4225,11778.49,90.32,90.7994,90.32,90.4235
Tucker rank 0054 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,54,True,10.9728,270491,1.0073,0.6125,1.0384,63.0938,1.6438,0.0473,4.5604,11950.6,91.75,91.7673,91.75,91.7499
Tucker rank 0061 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,61,False,0.0,313660,0.8687,0.6491,1.2028,62.2095,1.7593,0.0501,4.5269,11173.38,91.73,91.8864,91.73,91.7624
Tucker rank 0061 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,61,True,11.1267,313660,0.8687,0.6491,1.2031,63.4258,1.6129,0.0501,4.5877,12349.58,92.31,92.3278,92.31,92.3138
Tucker rank 0070 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,70,False,0.0,333511,0.817,0.9791,1.2785,62.2812,1.6861,0.0513,4.4188,11666.6,92.12,92.1765,92.12,92.1321
Tucker rank 0070 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,70,True,11.099,333511,0.817,0.9791,1.2788,63.5693,1.6289,0.0513,4.4903,12020.79,92.41,92.4167,92.41,92.4103
Tucker rank 0081 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,81,False,0.0,333511,0.817,0.9873,1.2785,62.2812,1.604,0.0513,4.5197,12201.73,92.12,92.1765,92.12,92.1321
Tucker rank 0081 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,81,True,11.1885,333511,0.817,0.9873,1.2788,63.5693,1.5995,0.0513,4.8683,12281.86,92.37,92.3887,92.37,92.3739
Tucker rank 0092 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,92,False,0.0,333511,0.817,1.0025,1.2785,62.2812,1.7078,0.0513,4.4522,12330.29,92.12,92.1765,92.12,92.1321
Tucker rank 0092 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,92,True,11.2453,333511,0.817,1.0025,1.2788,63.5693,1.6427,0.0513,4.5517,12805.06,92.42,92.4321,92.42,92.421
Tucker rank 0104 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,104,False,0.0,333511,0.817,1.0237,1.2785,62.2812,1.619,0.0513,4.7508,12109.7,92.12,92.1765,92.12,92.1321
Tucker rank 0104 [fine_tuned],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,104,True,11.2026,333511,0.817,1.0237,1.2788,63.5693,1.6344,0.0513,4.4945,11844.96,92.41,92.4199,92.41,92.4118
Tucker rank 0114 [compressed],Tucker,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,114,False,0.0,333511,0.817,0.9786,1.2785,62.2812,1.6651,0.0513,4.4845,11826.81,92.12,92.1765,92.12,92.1321
